table_name,module,table_category,source_release_stamp,brief_description,key_fields,brief_field_descriptions,scrape_source,scrape_date
ILOA,equipment_serial,TRANSP,2013-05-29,PM Object Location and Account Assignment,"MANDT, ILOAN, TPLNR, ABCKZ, ABCKZI, EQFNR, EQFNRI, SWERK, SWERKI, STORT, STORTI, MSGRP, MSGRPI, BEBER, BEBERI, CR_OBJTY, PPSID, PPSIDI","{""MANDT"": ""Client"", ""ILOAN"": ""Location and account assignment for technical object"", ""TPLNR"": ""Functional Location"", ""ABCKZ"": ""ABC Indicator for Technical Object"", ""ABCKZI"": ""Data origin for ABC indicator field"", ""EQFNR"": ""Sort Field"", ""EQFNRI"": ""Data origin for sort field"", ""SWERK"": ""Maintenance Plant"", ""SWERKI"": ""Data origin for maintenance plant field"", ""STORT"": ""Location of maintenance object"", ""STORTI"": ""Data origin for location field"", ""MSGRP"": ""Room"", ""MSGRPI"": ""Data origin for room number field"", ""BEBER"": ""Organizational Area"", ""BEBERI"": ""Data origin for company area field"", ""CR_OBJTY"": ""Object types of the CIM resource"", ""PPSID"": ""Object ID of PP work center"", ""PPSIDI"": ""Data origin for PP work center field""}",sapdatasheet.org,2026-04-27
LFA1,vendor,TRANSP,2013-06-04,Vendor Master (General Section),"MANDT, LIFNR, ANRED, BAHNS, BBBNR, BBSNR, BEGRU, BRSCH, BUBKZ, DATLT, DTAMS, DTAWS, ERDAT, ERNAM, ESRNR, KONZS, KTOKK, KUNNR","{""MANDT"": ""Client"", ""LIFNR"": ""Account Number of Vendor or Creditor"", ""ANRED"": ""Title"", ""BAHNS"": ""Train station"", ""BBBNR"": ""International location number  (part 1)"", ""BBSNR"": ""International location number (Part 2)"", ""BEGRU"": ""Authorization Group"", ""BRSCH"": ""Industry key"", ""BUBKZ"": ""Check digit for the international location number"", ""DATLT"": ""Data communication line no."", ""DTAMS"": ""Report key for data medium exchange"", ""DTAWS"": ""Instruction key for data medium exchange"", ""ERDAT"": ""Date on which the Record Was Created"", ""ERNAM"": ""Name of Person who Created the Object"", ""ESRNR"": ""POR subscriber number"", ""KONZS"": ""Group key"", ""KTOKK"": ""Vendor account group"", ""KUNNR"": ""Customer Number""}",sapdatasheet.org,2026-04-27
LFB1,vendor,TRANSP,2013-11-27,Vendor Master (Company Code),"MANDT, LIFNR, BUKRS, PERNR, ERDAT, ERNAM, SPERR, LOEVM, ZUAWA, AKONT, BEGRU, VZSKZ, ZWELS, XVERR, ZAHLS, ZTERM, EIKTO, ZSABE","{""MANDT"": ""Client"", ""LIFNR"": ""Account Number of Vendor or Creditor"", ""BUKRS"": ""Company Code"", ""PERNR"": ""Personnel Number"", ""ERDAT"": ""Date on which the Record Was Created"", ""ERNAM"": ""Name of Person who Created the Object"", ""SPERR"": ""Posting block for company code"", ""LOEVM"": ""Deletion Flag for Master Record (Company Code Level)"", ""ZUAWA"": ""Key for sorting according to assignment numbers"", ""AKONT"": ""Reconciliation Account in General Ledger"", ""BEGRU"": ""Authorization Group"", ""VZSKZ"": ""Interest calculation indicator"", ""ZWELS"": ""List of the Payment Methods to be Considered"", ""XVERR"": ""Indicator: Clearing between customer and vendor?"", ""ZAHLS"": ""Block Key for Payment"", ""ZTERM"": ""Terms of payment key"", ""EIKTO"": ""Our account number with the vendor"", ""ZSABE"": ""Clerk at vendor""}",sapdatasheet.org,2026-04-27
LFM1,vendor,TRANSP,2011-09-01,Vendor master record purchasing organization data,"MANDT, LIFNR, EKORG, ERDAT, ERNAM, SPERM, LOEVM, LFABC, WAERS, VERKF, TELF1, MINBW, ZTERM, INCO1, INCO2, WEBRE, KZABS, KALSK","{""MANDT"": ""Client"", ""LIFNR"": ""Vendor's account number"", ""EKORG"": ""Purchasing organization"", ""ERDAT"": ""Date on which the record was created"", ""ERNAM"": ""Name of Person who Created the Object"", ""SPERM"": ""Purchasing block at purchasing organization level"", ""LOEVM"": ""Delete flag for vendor at purchasing level"", ""LFABC"": ""ABC indicator"", ""WAERS"": ""Purchase order currency"", ""VERKF"": ""Responsible Salesperson at Vendor's Office"", ""TELF1"": ""Vendor's telephone number"", ""MINBW"": ""Minimum order value"", ""ZTERM"": ""Terms of payment key"", ""INCO1"": ""Incoterms (part 1)"", ""INCO2"": ""Incoterms (part 2)"", ""WEBRE"": ""Indicator: GR-Based Invoice Verification"", ""KZABS"": ""Order Acknowledgment Requirement"", ""KALSK"": ""Group for Calculation Schema (Vendor)""}",sapdatasheet.org,2026-04-27
LQUA,inventory_warehouse,TRANSP,2011-09-01,Quants,"MANDT, LGNUM, LQNUM, MATNR, WERKS, CHARG, BESTQ, SOBKZ, SONUM, LGTYP, LGPLA, PLPOS, SKZUE, SKZUA, SKZSE, SKZSA, SKZSI, SPGRU","{""MANDT"": ""Client"", ""LGNUM"": ""Warehouse Number / Warehouse Complex"", ""LQNUM"": ""Quant"", ""MATNR"": ""Material Number"", ""WERKS"": ""Plant"", ""CHARG"": ""Batch Number"", ""BESTQ"": ""Stock Category in the Warehouse Management System"", ""SOBKZ"": ""Special Stock Indicator"", ""SONUM"": ""Special Stock Number"", ""LGTYP"": ""Storage Type"", ""LGPLA"": ""Storage Bin"", ""PLPOS"": ""Position in storage bin"", ""SKZUE"": ""Blocking indicator: for putaways (user)"", ""SKZUA"": ""Blocking Indicator: For Stock Removals (User)"", ""SKZSE"": ""Blocking indicator: current placement into stock (system)"", ""SKZSA"": ""Blocking Indicator: Current Stock Removal (System)"", ""SKZSI"": ""Blocking Indicator: Current Inventory (System)"", ""SPGRU"": ""Blocking reason""}",sapdatasheet.org,2026-04-27
LTAP,inventory_warehouse,TRANSP,2013-05-29,Transfer order item,"MANDT, LGNUM, TANUM, TAPOS, TBPOS, POSNR, MATNR, WERKS, CHARG, BESTQ, SOBKZ, SONUM, STOFF, MEINS, ALTME, UMREZ, UMREN, LETYP","{""MANDT"": ""Client"", ""LGNUM"": ""Warehouse Number / Warehouse Complex"", ""TANUM"": ""Transfer Order Number"", ""TAPOS"": ""Transfer order item"", ""TBPOS"": ""Transfer Requirement Item"", ""POSNR"": ""Item number of the SD document"", ""MATNR"": ""Material Number"", ""WERKS"": ""Plant"", ""CHARG"": ""Batch Number"", ""BESTQ"": ""Stock Category in the Warehouse Management System"", ""SOBKZ"": ""Special Stock Indicator"", ""SONUM"": ""Special Stock Number"", ""STOFF"": ""Hazardous material number"", ""MEINS"": ""Base Unit of Measure"", ""ALTME"": ""Alternative Unit of Measure for Stockkeeping Unit"", ""UMREZ"": ""Numerator for Conversion to Base Units of Measure"", ""UMREN"": ""Denominator for conversion to base units of measure"", ""LETYP"": ""Storage Unit Type""}",sapdatasheet.org,2026-04-27
MAKT,materials,TRANSP,2013-05-29,Material Descriptions,"MANDT, MATNR, SPRAS, MAKTX, MAKTG","{""MANDT"": ""Client"", ""MATNR"": ""Material Number"", ""SPRAS"": ""Language Key"", ""MAKTX"": ""Material description"", ""MAKTG"": ""Material description in upper case for matchcodes""}",sapdatasheet.org,2026-04-27
MARA,materials,TRANSP,2014-01-21,General Material Data,"MANDT, MATNR, ERSDA, ERNAM, LAEDA, AENAM, VPSTA, PSTAT, LVORM, MTART, MBRSH, MATKL, BISMT, MEINS, BSTME, ZEINR, ZEIAR, ZEIVR","{""MANDT"": ""Client"", ""MATNR"": ""Material Number"", ""ERSDA"": ""Created On"", ""ERNAM"": ""Name of Person who Created the Object"", ""LAEDA"": ""Date of Last Change"", ""AENAM"": ""Name of Person Who Changed Object"", ""VPSTA"": ""Maintenance status of complete material"", ""PSTAT"": ""Maintenance status"", ""LVORM"": ""Flag Material for Deletion at Client Level"", ""MTART"": ""Material type"", ""MBRSH"": ""Industry sector"", ""MATKL"": ""Material Group"", ""BISMT"": ""Old material number"", ""MEINS"": ""Base Unit of Measure"", ""BSTME"": ""Order unit"", ""ZEINR"": ""Document number (without document management system)"", ""ZEIAR"": ""Document type (without Document Management system)"", ""ZEIVR"": ""Document version (without Document Management system)""}",sapdatasheet.org,2026-04-27
MARC,materials,TRANSP,2013-05-29,Plant Data for Material,"MANDT, MATNR, WERKS, PSTAT, LVORM, BWTTY, XCHAR, MMSTA, MMSTD, MAABC, KZKRI, EKGRP, AUSME, DISPR, DISMM, DISPO, KZDIE, PLIFZ","{""MANDT"": ""Client"", ""MATNR"": ""Material Number"", ""WERKS"": ""Plant"", ""PSTAT"": ""Maintenance status"", ""LVORM"": ""Flag Material for Deletion at Plant Level"", ""BWTTY"": ""Valuation Category"", ""XCHAR"": ""Batch management indicator (internal)"", ""MMSTA"": ""Plant-Specific Material Status"", ""MMSTD"": ""Date from which the plant-specific material status is valid"", ""MAABC"": ""ABC indicator"", ""KZKRI"": ""Indicator: Critical part"", ""EKGRP"": ""Purchasing group"", ""AUSME"": ""Unit of issue"", ""DISPR"": ""Material: MRP profile"", ""DISMM"": ""MRP Type"", ""DISPO"": ""MRP controller"", ""KZDIE"": ""Indicator: MRP controller is buyer (deactivated)"", ""PLIFZ"": ""Planned delivery time in days""}",sapdatasheet.org,2026-04-27
MARD,materials,TRANSP,2011-09-01,Storage Location Data for Material,"MANDT, MATNR, WERKS, LGORT, PSTAT, LVORM, LFGJA, LFMON, SPERR, LABST, UMLME, INSME, EINME, SPEME, RETME, VMLAB, VMUML, VMINS","{""MANDT"": ""Client"", ""MATNR"": ""Material Number"", ""WERKS"": ""Plant"", ""LGORT"": ""Storage location"", ""PSTAT"": ""Maintenance status"", ""LVORM"": ""Flag Material for Deletion at Storage Location Level"", ""LFGJA"": ""Fiscal Year of Current Period"", ""LFMON"": ""Current period (posting period)"", ""SPERR"": ""Physical inventory blocking indicator"", ""LABST"": ""Valuated Unrestricted-Use Stock"", ""UMLME"": ""Stock in transfer (from one storage location to another)"", ""INSME"": ""Stock in Quality Inspection"", ""EINME"": ""Total Stock of All Restricted Batches"", ""SPEME"": ""Blocked stock"", ""RETME"": ""Blocked Stock Returns"", ""VMLAB"": ""Valuated unrestricted-use stock in previous period"", ""VMUML"": ""Stock in transfer, previous period"", ""VMINS"": ""Stock in quality inspection from previous period""}",sapdatasheet.org,2026-04-27
