run_id,started_at_utc,finished_at_utc,source_type,row_count_total,tables_touched,trigger_user,notes
ING-20260413-001,2026-04-13T09:00:00Z,2026-04-13T09:05:00Z,manual,0,demo-prep-baseline,mmarkac,Demo baseline - stamped 5 days ago so existing domain facts remain valid without refresh
ING-20260425-001,2026-04-25T09:20:49Z,2026-04-25T09:21:03Z,sample_generator,359832,"bkpf,bseg,eban,ebkn,ekbe,eket,ekkn,ekko,ekpo,eqbs,equi,lfa1,lfb1,lfm1,lqua,ltap,makt,mara,marc,mard,marm,mchb,mkpf,mseg,mska,mvke,objk,rbkp,resb,rkpf,rseg,ser01,ser03,seri,t001,t001l,t001w,t023,t024,t024e,t156",mmarkac,
ING-20260425-002,2026-04-25T09:55:58Z,2026-04-25T09:56:10Z,sample_generator,396055,"bkpf,bseg,eban,ebkn,ekbe,eket,ekkn,ekko,ekpo,eqbs,equi,lfa1,lfb1,lfm1,lqua,ltap,makt,mara,marc,mard,marm,mchb,mkpf,mseg,mska,mvke,objk,rbkp,resb,rkpf,rseg,ser01,ser03,seri,t001,t001l,t001w,t023,t024,t024e,t156",mmarkac,
ING-20260512-001,2026-05-12T10:47:02Z,2026-05-12T10:47:10Z,sample_generator,396074,"bkpf,bseg,eban,ebkn,ekbe,eket,ekkn,ekko,ekpo,eqbs,equi,lfa1,lfb1,lfm1,lqua,ltap,makt,mara,marc,mard,marm,mchb,mkpf,mseg,mska,mvke,objk,rbkp,resb,rkpf,rseg,ser01,ser03,seri,t001,t001l,t001w,t023,t024,t024e,t156,t156t,zmm_material_business,zmm_vendor_business",mmarkac,
