id,from_model,from_layer,to_model,to_layer,relationship_type,join_key,label
R0230,sat_po_header,vault,stg_sap__ekko,staging,pipeline,,reads from
R0231,sat_po_item,vault,stg_sap__ekpo,staging,pipeline,,reads from
R0232,sat_po_schedule,vault,stg_sap__eket,staging,pipeline,,reads from
R0233,sat_pr_detail,vault,stg_sap__eban,staging,pipeline,,reads from
R0234,sat_sales_order,vault,stg_sap__vbak,staging,pipeline,,reads from
R0235,sat_sales_order_item,vault,stg_sap__vbap,staging,pipeline,,reads from
R0236,sat_service_plan,vault,stg_sap__vbap,staging,pipeline,,reads from
R0237,sat_stock_level,vault,stg_sap__mard,staging,pipeline,,reads from
R0238,sat_vendor_business,vault,stg_sap__zmm_vendor_business,staging,pipeline,,reads from
R0239,sat_vendor_commercial,vault,stg_sap__lfb1,staging,pipeline,,reads from
R0240,sat_vendor_general,vault,stg_sap__lfa1,staging,pipeline,,reads from
R0241,sat_zmm_approval,vault,stg_sap__zmm_approval_log,staging,pipeline,,reads from
R0242,fact_equipment_lifecycle,marts,dim_material,marts,star,MATNR,joined on material
R0243,fact_equipment_lifecycle,marts,dim_service_plan,marts,star,MATNR,joined on material
R0244,fact_goods_movements,marts,dim_material,marts,star,MATNR,joined on material
R0245,fact_goods_movements,marts,dim_movement_type,marts,star,BWART,joined on movement type
R0246,fact_goods_movements,marts,dim_plant,marts,star,WERKS,joined on plant
R0247,fact_goods_movements,marts,dim_service_plan,marts,star,MATNR,joined on material
R0248,fact_goods_movements,marts,dim_vendor,marts,star,LIFNR,joined on vendor
R0249,fact_goods_receipt_accuracy,marts,dim_vendor,marts,star,LIFNR,joined on vendor
R0250,fact_goods_receipts_monthly,marts,dim_material,marts,star,MATNR,joined on material
R0251,fact_goods_receipts_monthly,marts,dim_service_plan,marts,star,MATNR,joined on material
R0252,fact_goods_receipts_monthly,marts,dim_vendor,marts,star,LIFNR,joined on vendor
R0253,fact_inventory,marts,dim_material,marts,star,MATNR,joined on material
R0254,fact_inventory,marts,dim_plant,marts,star,WERKS,joined on plant
R0255,fact_inventory,marts,dim_service_plan,marts,star,MATNR,joined on material
R0256,fact_invoices,marts,dim_vendor,marts,star,LIFNR,joined on vendor
R0257,fact_po_invoice_match_variance,marts,dim_vendor,marts,star,LIFNR,joined on vendor
R0258,fact_purchase_orders,marts,dim_material,marts,star,MATNR,joined on material
R0259,fact_purchase_orders,marts,dim_plant,marts,star,WERKS,joined on plant
R0260,fact_purchase_orders,marts,dim_service_plan,marts,star,MATNR,joined on material
R0261,fact_purchase_orders,marts,dim_vendor,marts,star,LIFNR,joined on vendor
R0262,fact_equipment_lifecycle,marts,dim_date,marts,date,status_from_date,joined on status_from_date
R0263,fact_goods_movements,marts,dim_date,marts,date,posting_date,joined on posting_date
R0264,fact_goods_receipt_accuracy,marts,dim_date,marts,date,first_receipt_date,joined on first_receipt_date
R0265,fact_invoices,marts,dim_date,marts,date,posting_date,joined on posting_date
R0266,fact_purchase_orders,marts,dim_date,marts,date,po_date,joined on po_date
